folio,fecha,planta,centro_costo,concepto,monto,cargado_en
CHI-202501-006264,2025-01-01,Chihuahua,Energía,Refacción prensa,"6.375,00",2026-07-01
CHI-202501-006291,2025-01-01,Chihuahua,nómina indirecta,Flete nacional,"9.066,75",2026-07-01
CHI-202501-006318,2025-01-01,Chihuahua,Fletes,Calibración de equipo,"7.912,50",2026-07-01
CHI-202501-006345,2025-01-01,Chihuahua,Calidad,Equipo de protección,"4.524,25",2026-07-01
CHI-202501-006372,2025-01-01,Chihuahua,Seguridad,Refacción prensa,"4.405,75",2026-07-01
CHI-202501-006399,2025-01-01,Chihuahua,Sistemas,Flete nacional,"2.711,25",2026-07-01
CUA-202501-003321,2025-01-01,Cuautitlán,  MANTENIMIENTO ,Equipo de protección,"9.844,75",2026-07-01
CUA-202501-003348,2025-01-01,Cuautitlán,Energía,Refacción prensa,"6.826,50",2026-07-01
CUA-202501-003375,2025-01-01,Cuautitlán,Nómina Indirecta,Flete nacional,"7.472,25",2026-07-01
CUA-202501-003402,2025-01-01,Cuautitlán,Fletes,Calibración de equipo,"5.948,00",2026-07-01
CUA-202501-003429,2025-01-01,Cuautitlán,Calidad,Equipo de protección,"2.433,25",2026-07-01
CUA-202501-003456,2025-01-01,Cuautitlán, Seguridad,Refacción prensa,"1.288,75",2026-07-01
CUA-202501-003483,2025-01-01,Cuautitlán,Sistemas,Flete nacional,"1.813,25",2026-07-01
HER-202501-000810,2025-01-01,Hermosillo,Mantenimiento,Calibración de equipo,"6.602,25",2026-07-01
HER-202501-000837,2025-01-01,Hermosillo,Energía,Equipo de protección,"2.729,50",2026-07-01
HER-202501-000864,2025-01-01,Hermosillo,Fletes,Refacción prensa,"4.204,00",2026-07-01
HER-202501-000891,2025-01-01,Hermosillo,refacciones,Flete nacional,"4.806,25",2026-07-01
HER-202501-000918,2025-01-01,Hermosillo,Calidad,Calibración de equipo,"2.620,50",2026-07-01
