planta,centro_costo,anio,mes,monto_presupuesto,cargado_en
Hermosillo,Mantenimiento,2025,1,"145.200,00",2026-07-01
Hermosillo,Energía,2025,1,"112.200,00",2026-07-01
Hermosillo,Nómina Indirecta,2025,1,"105.600,00",2026-07-01
Hermosillo,Fletes,2025,1,"85.800,00",2026-07-01
Hermosillo,Refacciones,2025,1,"72.600,00",2026-07-01
Hermosillo,Calidad,2025,1,"52.800,00",2026-07-01
Hermosillo,Seguridad,2025,1,"46.200,00",2026-07-01
Hermosillo,Sistemas,2025,1,"39.600,00",2026-07-01
Hermosillo,Mantenimiento,2025,2,"145.200,00",2026-07-01
Hermosillo,Energía,2025,2,"112.200,00",2026-07-01
Hermosillo,Nómina Indirecta,2025,2,"105.600,00",2026-07-01
Hermosillo,Fletes,2025,2,"85.800,00",2026-07-01
Hermosillo,Refacciones,2025,2,"72.600,00",2026-07-01
Hermosillo,Calidad,2025,2,"52.800,00",2026-07-01
Hermosillo,Seguridad,2025,2,"46.200,00",2026-07-01
Hermosillo,Sistemas,2025,2,"39.600,00",2026-07-01
Hermosillo,Mantenimiento,2025,3,"145.200,00",2026-07-01
Hermosillo,Energía,2025,3,"112.200,00",2026-07-01
Hermosillo,Nómina Indirecta,2025,3,"105.600,00",2026-07-01
Hermosillo,Fletes,2025,3,"85.800,00",2026-07-01
Hermosillo,Refacciones,2025,3,"72.600,00",2026-07-01
Hermosillo,Calidad,2025,3,"52.800,00",2026-07-01
Hermosillo,Seguridad,2025,3,"46.200,00",2026-07-01
Hermosillo,Sistemas,2025,3,"39.600,00",2026-07-01
Hermosillo,Mantenimiento,2025,4,"145.200,00",2026-07-01
Hermosillo,Energía,2025,4,"112.200,00",2026-07-01
Hermosillo,Nómina Indirecta,2025,4,"105.600,00",2026-07-01
Hermosillo,Fletes,2025,4,"85.800,00",2026-07-01
Hermosillo,Refacciones,2025,4,"72.600,00",2026-07-01
Hermosillo,Calidad,2025,4,"52.800,00",2026-07-01
Hermosillo,Seguridad,2025,4,"46.200,00",2026-07-01
Hermosillo,Sistemas,2025,4,"39.600,00",2026-07-01
Hermosillo,Mantenimiento,2025,5,"145.200,00",2026-07-01
Hermosillo,Energía,2025,5,"112.200,00",2026-07-01
Hermosillo,Nómina Indirecta,2025,5,"105.600,00",2026-07-01
Hermosillo,Fletes,2025,5,"85.800,00",2026-07-01
Hermosillo,Refacciones,2025,5,"72.600,00",2026-07-01
Hermosillo,Calidad,2025,5,"52.800,00",2026-07-01
Hermosillo,Seguridad,2025,5,"46.200,00",2026-07-01
Hermosillo,Sistemas,2025,5,"39.600,00",2026-07-01
Hermosillo,Mantenimiento,2025,6,"145.200,00",2026-07-01
Hermosillo,Energía,2025,6,"112.200,00",2026-07-01
Hermosillo,Nómina Indirecta,2025,6,"105.600,00",2026-07-01
Hermosillo,Fletes,2025,6,"85.800,00",2026-07-01
Hermosillo,Refacciones,2025,6,"72.600,00",2026-07-01
Hermosillo,Calidad,2025,6,"52.800,00",2026-07-01
Hermosillo,Seguridad,2025,6,"46.200,00",2026-07-01
Hermosillo,Sistemas,2025,6,"39.600,00",2026-07-01
Hermosillo,Mantenimiento,2025,7,"145.200,00",2026-07-01
Hermosillo,Energía,2025,7,"112.200,00",2026-07-01
Hermosillo,Nómina Indirecta,2025,7,"105.600,00",2026-07-01
Hermosillo,Fletes,2025,7,"85.800,00",2026-07-01
Hermosillo,Refacciones,2025,7,"72.600,00",2026-07-01
Hermosillo,Calidad,2025,7,"52.800,00",2026-07-01
Hermosillo,Seguridad,2025,7,"46.200,00",2026-07-01
Hermosillo,Sistemas,2025,7,"39.600,00",2026-07-01
Hermosillo,Mantenimiento,2025,8,"145.200,00",2026-07-01
Hermosillo,Energía,2025,8,"112.200,00",2026-07-01
Hermosillo,Nómina Indirecta,2025,8,"105.600,00",2026-07-01
Hermosillo,Fletes,2025,8,"85.800,00",2026-07-01
Hermosillo,Refacciones,2025,8,"72.600,00",2026-07-01
Hermosillo,Calidad,2025,8,"52.800,00",2026-07-01
Hermosillo,Seguridad,2025,8,"46.200,00",2026-07-01
Hermosillo,Sistemas,2025,8,"39.600,00",2026-07-01
Hermosillo,Mantenimiento,2025,9,"145.200,00",2026-07-01
Hermosillo,Energía,2025,9,"112.200,00",2026-07-01
Hermosillo,Nómina Indirecta,2025,9,"105.600,00",2026-07-01
Hermosillo,Fletes,2025,9,"85.800,00",2026-07-01
Hermosillo,Refacciones,2025,9,"72.600,00",2026-07-01
Hermosillo,Calidad,2025,9,"52.800,00",2026-07-01
Hermosillo,Seguridad,2025,9,"46.200,00",2026-07-01
Hermosillo,Sistemas,2025,9,"39.600,00",2026-07-01
Hermosillo,Mantenimiento,2025,10,"145.200,00",2026-07-01
Hermosillo,Energía,2025,10,"112.200,00",2026-07-01
Hermosillo,Nómina Indirecta,2025,10,"105.600,00",2026-07-01
Hermosillo,Fletes,2025,10,"85.800,00",2026-07-01
Hermosillo,Refacciones,2025,10,"72.600,00",2026-07-01
Hermosillo,Calidad,2025,10,"52.800,00",2026-07-01
Hermosillo,Seguridad,2025,10,"46.200,00",2026-07-01
Hermosillo,Sistemas,2025,10,"39.600,00",2026-07-01
Hermosillo,Mantenimiento,2025,11,"145.200,00",2026-07-01
Hermosillo,Energía,2025,11,"112.200,00",2026-07-01
Hermosillo,Nómina Indirecta,2025,11,"105.600,00",2026-07-01
Hermosillo,Fletes,2025,11,"85.800,00",2026-07-01
Hermosillo,Refacciones,2025,11,"72.600,00",2026-07-01
Hermosillo,Calidad,2025,11,"52.800,00",2026-07-01
Hermosillo,Seguridad,2025,11,"46.200,00",2026-07-01
Hermosillo,Sistemas,2025,11,"39.600,00",2026-07-01
Hermosillo,Mantenimiento,2025,12,"145.200,00",2026-07-01
Hermosillo,Energía,2025,12,"112.200,00",2026-07-01
Hermosillo,Nómina Indirecta,2025,12,"105.600,00",2026-07-01
Hermosillo,Fletes,2025,12,"85.800,00",2026-07-01
Hermosillo,Refacciones,2025,12,"72.600,00",2026-07-01
Hermosillo,Calidad,2025,12,"52.800,00",2026-07-01
Hermosillo,Seguridad,2025,12,"46.200,00",2026-07-01
Hermosillo,Sistemas,2025,12,"39.600,00",2026-07-01
Hermosillo,Mantenimiento,2026,1,"145.200,00",2026-07-01
Hermosillo,Energía,2026,1,"112.200,00",2026-07-01
Hermosillo,Nómina Indirecta,2026,1,"105.600,00",2026-07-01
Hermosillo,Fletes,2026,1,"85.800,00",2026-07-01
Hermosillo,Refacciones,2026,1,"72.600,00",2026-07-01
Hermosillo,Calidad,2026,1,"52.800,00",2026-07-01
Hermosillo,Seguridad,2026,1,"46.200,00",2026-07-01
Hermosillo,Sistemas,2026,1,"39.600,00",2026-07-01
Hermosillo,Mantenimiento,2026,2,"145.200,00",2026-07-01
Hermosillo,Energía,2026,2,"112.200,00",2026-07-01
Hermosillo,Nómina Indirecta,2026,2,"105.600,00",2026-07-01
Hermosillo,Fletes,2026,2,"85.800,00",2026-07-01
Hermosillo,Refacciones,2026,2,"72.600,00",2026-07-01
Hermosillo,Calidad,2026,2,"52.800,00",2026-07-01
Hermosillo,Seguridad,2026,2,"46.200,00",2026-07-01
Hermosillo,Sistemas,2026,2,"39.600,00",2026-07-01
Hermosillo,Mantenimiento,2026,3,"145.200,00",2026-07-01
Hermosillo,Energía,2026,3,"112.200,00",2026-07-01
Hermosillo,Nómina Indirecta,2026,3,"105.600,00",2026-07-01
Hermosillo,Fletes,2026,3,"85.800,00",2026-07-01
Hermosillo,Refacciones,2026,3,"72.600,00",2026-07-01
Hermosillo,Calidad,2026,3,"52.800,00",2026-07-01
Hermosillo,Seguridad,2026,3,"46.200,00",2026-07-01
Hermosillo,Sistemas,2026,3,"39.600,00",2026-07-01
Hermosillo,Mantenimiento,2026,4,"150.000,00",2026-07-01
Hermosillo,Energía,2026,4,"120.000,00",2026-07-01
Hermosillo,Nómina Indirecta,2026,4,"110.000,00",2026-07-01
Hermosillo,Fletes,2026,4,"90.000,00",2026-07-01
Hermosillo,Refacciones,2026,4,"70.000,00",2026-07-01
Hermosillo,Calidad,2026,4,"60.000,00",2026-07-01
Hermosillo,Seguridad,2026,4,"50.000,00",2026-07-01
Hermosillo,Sistemas,2026,4,"50.000,00",2026-07-01
Hermosillo,Mantenimiento,2026,5,"140.000,00",2026-07-01
Hermosillo,Energía,2026,5,"110.000,00",2026-07-01
Hermosillo,Nómina Indirecta,2026,5,"105.000,00",2026-07-01
Hermosillo,Fletes,2026,5,"85.000,00",2026-07-01
Hermosillo,Refacciones,2026,5,"65.000,00",2026-07-01
Hermosillo,Calidad,2026,5,"55.000,00",2026-07-01
Hermosillo,Seguridad,2026,5,"45.000,00",2026-07-01
Hermosillo,Sistemas,2026,5,"45.000,00",2026-07-01
Hermosillo,Mantenimiento,2026,6,"140.000,00",2026-07-01
Hermosillo,Energía,2026,6,"110.000,00",2026-07-01
Hermosillo,Nómina Indirecta,2026,6,"105.000,00",2026-07-01
Hermosillo,Fletes,2026,6,"85.000,00",2026-07-01
Hermosillo,Refacciones,2026,6,"65.000,00",2026-07-01
Hermosillo,Calidad,2026,6,"55.000,00",2026-07-01
Hermosillo,Seguridad,2026,6,"45.000,00",2026-07-01
Hermosillo,Sistemas,2026,6,"45.000,00",2026-07-01
Cuautitlán,Mantenimiento,2025,1,"154.000,00",2026-07-01
Cuautitlán,Energía,2025,1,"119.000,00",2026-07-01
Cuautitlán,Nómina Indirecta,2025,1,"112.000,00",2026-07-01
Cuautitlán,Fletes,2025,1,"91.000,00",2026-07-01
Cuautitlán,Refacciones,2025,1,"77.000,00",2026-07-01
Cuautitlán,Calidad,2025,1,"56.000,00",2026-07-01
Cuautitlán,Seguridad,2025,1,"49.000,00",2026-07-01
Cuautitlán,Sistemas,2025,1,"42.000,00",2026-07-01
Cuautitlán,Mantenimiento,2025,2,"154.000,00",2026-07-01
Cuautitlán,Energía,2025,2,"119.000,00",2026-07-01
Cuautitlán,Nómina Indirecta,2025,2,"112.000,00",2026-07-01
Cuautitlán,Fletes,2025,2,"91.000,00",2026-07-01
Cuautitlán,Refacciones,2025,2,"77.000,00",2026-07-01
Cuautitlán,Calidad,2025,2,"56.000,00",2026-07-01
Cuautitlán,Seguridad,2025,2,"49.000,00",2026-07-01
Cuautitlán,Sistemas,2025,2,"42.000,00",2026-07-01
Cuautitlán,Mantenimiento,2025,3,"154.000,00",2026-07-01
Cuautitlán,Energía,2025,3,"119.000,00",2026-07-01
Cuautitlán,Nómina Indirecta,2025,3,"112.000,00",2026-07-01
Cuautitlán,Fletes,2025,3,"91.000,00",2026-07-01
Cuautitlán,Refacciones,2025,3,"77.000,00",2026-07-01
Cuautitlán,Calidad,2025,3,"56.000,00",2026-07-01
Cuautitlán,Seguridad,2025,3,"49.000,00",2026-07-01
Cuautitlán,Sistemas,2025,3,"42.000,00",2026-07-01
Cuautitlán,Mantenimiento,2025,4,"154.000,00",2026-07-01
Cuautitlán,Energía,2025,4,"119.000,00",2026-07-01
Cuautitlán,Nómina Indirecta,2025,4,"112.000,00",2026-07-01
Cuautitlán,Fletes,2025,4,"91.000,00",2026-07-01
Cuautitlán,Refacciones,2025,4,"77.000,00",2026-07-01
Cuautitlán,Calidad,2025,4,"56.000,00",2026-07-01
Cuautitlán,Seguridad,2025,4,"49.000,00",2026-07-01
Cuautitlán,Sistemas,2025,4,"42.000,00",2026-07-01
Cuautitlán,Mantenimiento,2025,5,"154.000,00",2026-07-01
Cuautitlán,Energía,2025,5,"119.000,00",2026-07-01
Cuautitlán,Nómina Indirecta,2025,5,"112.000,00",2026-07-01
Cuautitlán,Fletes,2025,5,"91.000,00",2026-07-01
Cuautitlán,Refacciones,2025,5,"77.000,00",2026-07-01
Cuautitlán,Calidad,2025,5,"56.000,00",2026-07-01
Cuautitlán,Seguridad,2025,5,"49.000,00",2026-07-01
Cuautitlán,Sistemas,2025,5,"42.000,00",2026-07-01
Cuautitlán,Mantenimiento,2025,6,"154.000,00",2026-07-01
Cuautitlán,Energía,2025,6,"119.000,00",2026-07-01
Cuautitlán,Nómina Indirecta,2025,6,"112.000,00",2026-07-01
Cuautitlán,Fletes,2025,6,"91.000,00",2026-07-01
Cuautitlán,Refacciones,2025,6,"77.000,00",2026-07-01
Cuautitlán,Calidad,2025,6,"56.000,00",2026-07-01
Cuautitlán,Seguridad,2025,6,"49.000,00",2026-07-01
Cuautitlán,Sistemas,2025,6,"42.000,00",2026-07-01
Cuautitlán,Mantenimiento,2025,7,"154.000,00",2026-07-01
Cuautitlán,Energía,2025,7,"119.000,00",2026-07-01
Cuautitlán,Nómina Indirecta,2025,7,"112.000,00",2026-07-01
Cuautitlán,Fletes,2025,7,"91.000,00",2026-07-01
Cuautitlán,Refacciones,2025,7,"77.000,00",2026-07-01
Cuautitlán,Calidad,2025,7,"56.000,00",2026-07-01
Cuautitlán,Seguridad,2025,7,"49.000,00",2026-07-01
Cuautitlán,Sistemas,2025,7,"42.000,00",2026-07-01
Cuautitlán,Mantenimiento,2025,8,"154.000,00",2026-07-01
Cuautitlán,Energía,2025,8,"119.000,00",2026-07-01
Cuautitlán,Nómina Indirecta,2025,8,"112.000,00",2026-07-01
Cuautitlán,Fletes,2025,8,"91.000,00",2026-07-01
Cuautitlán,Refacciones,2025,8,"77.000,00",2026-07-01
Cuautitlán,Calidad,2025,8,"56.000,00",2026-07-01
Cuautitlán,Seguridad,2025,8,"49.000,00",2026-07-01
Cuautitlán,Sistemas,2025,8,"42.000,00",2026-07-01
Cuautitlán,Mantenimiento,2025,9,"154.000,00",2026-07-01
Cuautitlán,Energía,2025,9,"119.000,00",2026-07-01
Cuautitlán,Nómina Indirecta,2025,9,"112.000,00",2026-07-01
Cuautitlán,Fletes,2025,9,"91.000,00",2026-07-01
Cuautitlán,Refacciones,2025,9,"77.000,00",2026-07-01
