folio,fecha,planta,centro_costo,concepto,monto,cargado_en
CHI-202501-006075,2025-01-01,Chihuahua,Energía,Flete nacional,"3.193,50",2026-07-01
CHI-202501-006102,2025-01-01,Chihuahua,Nómina Indirecta,Calibración de equipo,"8.339,75",2026-07-01
CHI-202501-006129,2025-01-01,Chihuahua,Fletes,Equipo de protección,"4.484,50",2026-07-01
CHI-202501-006156,2025-01-01,Chihuahua, Calidad,Refacción prensa,"3.823,50",2026-07-01
CHI-202501-006183,2025-01-01,Chihuahua,Seguridad,Flete nacional,"2.269,75",2026-07-01
CHI-202501-006210,2025-01-01,Chihuahua,Sistemas,Calibración de equipo,"2.396,50",2026-07-01
CUA-202501-003051,2025-01-01,Cuautitlán,Energía ,Flete nacional,"3.945,00",2026-07-01
CUA-202501-003078,2025-01-01,Cuautitlán,Nómina Indirecta,Calibración de equipo,"6.949,75",2026-07-01
CUA-202501-003105,2025-01-01,Cuautitlán,Fletes,Equipo de protección,"2.664,75",2026-07-01
CUA-202501-003132,2025-01-01,Cuautitlán,Calidad,Refacción prensa,"5.428,75",2026-07-01
CUA-202501-003159,2025-01-01,Cuautitlán,Seguridad,Flete nacional,"1.583,50",2026-07-01
CUA-202501-003186,2025-01-01,Cuautitlán,SISTEMAS,Calibración de equipo,"2.478,75",2026-07-01
HER-202501-000027,2025-01-01,Hermosillo,Energía,Flete nacional,"3.488,75",2026-07-01
HER-202501-000054,2025-01-01,Hermosillo,Nómina Indirecta,Calibración de equipo,"7.687,75",2026-07-01
HER-202501-000081,2025-01-01,Hermosillo, Fletes,Equipo de protección,"2.634,25",2026-07-01
HER-202501-000108,2025-01-01,Hermosillo,Calidad,Refacción prensa,"3.307,25",2026-07-01
HER-202501-000135,2025-01-01,Hermosillo,Seguridad,Flete nacional,"1.871,00",2026-07-01
HER-202501-000162,2025-01-01,Hermosillo,Sistemas,Calibración de equipo,"2.095,50",2026-07-01
IRA-202501-009099,2025-01-01,Irapuato,Energía,Flete nacional,"2.919,50",2026-07-01
IRA-202501-009126,2025-01-01,Irapuato,Nómina Indirecta ,Calibración de equipo,"5.660,00",2026-07-01
IRA-202501-009153,2025-01-01,Irapuato,Fletes,Equipo de protección,"2.515,75",2026-07-01
IRA-202501-009180,2025-01-01,Irapuato,Calidad,Refacción prensa,"2.092,50",2026-07-01
IRA-202501-009207,2025-01-01,Irapuato,Seguridad,Flete nacional,"1.129,25",2026-07-01
IRA-202501-009234,2025-01-01,Irapuato,Sistemas,Calibración de equipo,"1.667,75",2026-07-01
CHI-202501-006052,2025-01-02,Chihuahua,Mantenimiento,Flete de importación,"9.482,25",2026-07-01
CHI-202501-006079,2025-01-02,Chihuahua,Energía,Nómina de apoyo,"3.763,50",2026-07-01
CHI-202501-006106,2025-01-02,Chihuahua, Nómina Indirecta,Reparación correctiva,"8.784,25",2026-07-01
CHI-202501-006133,2025-01-02,Chihuahua,Refacciones,Mantenimiento preventivo,"-6.074,75",2026-07-01
CHI-202501-006160,2025-01-02,Chihuahua,Calidad,Flete de importación,"4.182,00",2026-07-01
CHI-202501-006187,2025-01-02,Chihuahua,Seguridad,Nómina de apoyo,"2.686,00",2026-07-01
CHI-202501-006214,2025-01-02,Chihuahua,Sistemas,Reparación correctiva,"3.224,00",2026-07-01
CUA-202501-003028,2025-01-02,Cuautitlán,Mantenimiento,Flete de importación,"9.875,00",2026-07-01
CUA-202501-003055,2025-01-02,Cuautitlán,Energía,Nómina de apoyo,"4.074,50",2026-07-01
CUA-202501-003082,2025-01-02,Cuautitlán,Nómina Indirecta,Reparación correctiva,"7.112,75",2026-07-01
CUA-202501-003109,2025-01-02,Cuautitlán,Refacciones,Mantenimiento preventivo,"-2.977,75",2026-07-01
CUA-202501-003136,2025-01-02,Cuautitlán,CALIDAD,Flete de importación,"6.375,25",2026-07-01
CUA-202501-003163,2025-01-02,Cuautitlán,Seguridad,Nómina de apoyo,"2.314,50",2026-07-01
CUA-202501-003190,2025-01-02,Cuautitlán,Sistemas,Reparación correctiva,"1.964,00",2026-07-01
HER-202501-000004,2025-01-02,Hermosillo,Mantenimiento,Flete de importación,"9.944,00",2026-07-01
HER-202501-000031,2025-01-02,Hermosillo, Energía,Nómina de apoyo,"5.197,75",2026-07-01
HER-202501-000058,2025-01-02,Hermosillo,Nómina Indirecta,Reparación correctiva,"8.111,50",2026-07-01
HER-202501-000085,2025-01-02,Hermosillo,Refacciones,Mantenimiento preventivo,"-5.657,00",2026-07-01
HER-202501-000112,2025-01-02,Hermosillo,Calidad,Flete de importación,"3.482,75",2026-07-01
